cod_inst,instituicao,tcb,uf,sistema_atribuido,ultimo_trimestre,carteira_real
24799033,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAÍBA LTDA.,b3S,GO,(sem marca no nome - segue individual),202603,6.3617306e+08
5979692,COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DOS CREAS E DEMAIS ÁREAS TECNOLÓGICAS - CREDCREA,b3S,SC,(sem marca no nome - segue individual),202603,5.948481e+08
7502031,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO OESTE LTDA.,b3S,GO,(sem marca no nome - segue individual),202603,5.1248246e+08
9590601,COOPERATIVA DE CRÉDITO - CREDICOMIN,b3S,SC,(sem marca no nome - segue individual),202603,4.6753165e+08
76461557,COOPERATIVA DE CRÉDITO RURAL COOPAVEL,b3S,PR,(sem marca no nome - segue individual),202603,4.5963872e+08
26960328,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO TOCANTINS LTDA,b3S,TO,(sem marca no nome - segue individual),202603,4.469295e+08
10209619,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA GRANDE GOIÂNIA LTDA.,b3S,GO,(sem marca no nome - segue individual),202603,4.3949338e+08
24830879,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO ARAGUAIA LTDA.,b3S,GO,(sem marca no nome - segue individual),202603,4.23502e+08
968602,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO SÃO PATRICIO LTDA.,b3S,GO,(sem marca no nome - segue individual),202603,4.2135245e+08
3730508,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO GOIANO LTDA.,b3S,GO,(sem marca no nome - segue individual),202003,3.7805578e+08
9033698,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RIO VERDE E REGIÃO LTDA.,b3S,GO,(sem marca no nome - segue individual),202603,3.7112275e+08
1664968,COOPERATIVA  DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS UNIRONDÔNIA LTDA,b3S,RO,(sem marca no nome - segue individual),202406,3.6796246e+08
1187961,COOPERATIVA DE CRÉDITO DO DISTRITO FEDERAL E ENTORNO LTDA,b3S,DF,(sem marca no nome - segue individual),202603,3.608089e+08
1637949,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAPANEMA,b3S,SP,(sem marca no nome - segue individual),202603,3.4105165e+08
33579731,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO-SUL GOIANO LTDA,b3S,GO,(sem marca no nome - segue individual),202603,3.3282605e+08
1608685,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO ACRE LTDA.,b3S,AC,(sem marca no nome - segue individual),202603,3.2442976e+08
41805003,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO SÃO FRANCISCO LTDA.,b3S,MG,(sem marca no nome - segue individual),202603,3.0632877e+08
33615055,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ANÁPOLIS E REGIÃO LTDA,b3S,GO,(sem marca no nome - segue individual),202603,3.0340362e+08
3427097,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL CATARINENSE - ACENTRA,b3S,SC,(sem marca no nome - segue individual),202603,2.9220534e+08
53935029,COOPERATIVA DE CRÉDITO COOCRELIVRE,b3S,SP,(sem marca no nome - segue individual),202603,2.8381306e+08
5861932,COOPERATIVA DE CRÉDITO MÚTUO DOS ADVOGADOS DE SANTA CATARINA,b3S,SC,(sem marca no nome - segue individual),202603,2.7759814e+08
2000895,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO PODER JUDICIÁRIO, DO TRIBUNAL DE CONTAS ESTADUAL E DEMAIS ÓRGÃOS PÚBLICOS MUNICIPAIS, ESTADUAIS E FEDERAIS NO ESTADO DO RIO DE JANEIRO LTDA.",b3S,RJ,(sem marca no nome - segue individual),202603,2.7532483e+08
1566038,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE MANAUS,b3S,AM,(sem marca no nome - segue individual),202306,2.71816e+08
10143743,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUL DO BRASIL - CREVISC,b3S,SC,(sem marca no nome - segue individual),202603,2.4973563e+08
73422792,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE RUBIATABA E REGIAO LTDA,b3S,GO,(sem marca no nome - segue individual),202603,2.4722854e+08
2405189,COOPERATIVA DE CRÉDITO DA GRANDE FLORIANÓPOLIS - ÚNILOS,b3S,SC,(sem marca no nome - segue individual),202603,2.3349902e+08
37631058,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PALMEIRAS E REGIÃO LTDA.,b3S,GO,(sem marca no nome - segue individual),202603,2.149982e+08
1439107,BARRACRED - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO,b3S,SP,(sem marca no nome - segue individual),202603,2.0211915e+08
10143499,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE JATAÍ E REGIÃO LTDA.,b3S,GO,(sem marca no nome - segue individual),202603,1.951952e+08
1720488,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E MICRORREGIÕES LTDA.,b3S,GO,(sem marca no nome - segue individual),202209,1.9434198e+08
62928320,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA FEDERAÇÃO DO COMÉRCIO, SESC E SENAC DE SÃO PAULO",b3S,SP,(sem marca no nome - segue individual),202603,1.933886e+08
39343350,LAR COOPERATIVA DE CRÉDITO - LAR CREDI,b3S,PR,(sem marca no nome - segue individual),202603,1.9186294e+08
4406371,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE GOIÁS,b3S,GO,(sem marca no nome - segue individual),202603,1.7431205e+08
82096447,CREDI&GENTE - COOPERATIVA DE CRÉDITO E INVESTIMENTOS,b3S,PR,(sem marca no nome - segue individual),202603,1.4740251e+08
71418784,COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DA SAÚDE E LIVRE ADMISSÃO DO SUL DE MINAS LTDA,b3S,MG,(sem marca no nome - segue individual),202603,1.450178e+08
62109566,CREDISAN COOPERATIVA DE CRÉDITO,b3S,SP,(sem marca no nome - segue individual),202603,1.4186914e+08
6910457,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTA CRUZ DAS PALMEIRAS E REGIÃO,b3S,SP,(sem marca no nome - segue individual),202603,1.3743123e+08
78157146,CREDIALIANÇA COOPERATIVA DE CRÉDITO RURAL,b3S,PR,(sem marca no nome - segue individual),202512,1.3109201e+08
2562412,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES DO GRUPO SÃO MARTINHO   USICRED,b3S,SP,(sem marca no nome - segue individual),202603,1.2346679e+08
7714057,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA ÁREA NOTARIAL E REGISTRAL - COOPNORE,b3S,RS,(sem marca no nome - segue individual),202603,1.06279e+08
64293582,COOPERATIVA DE CRÉDITO DOS EMPREGADOS DO GRUPO VALLOUREC NO BRASIL - COOVALL LTDA.,b3S,MG,(sem marca no nome - segue individual),202603,1.0497975e+08
43488782,COOPERFEMSA - COOPERATIVA DE CRÉDITO,b3S,SP,(sem marca no nome - segue individual),202603,9.93319e+07
53623781,COOPERATIVA DE CRÉDITO COOPCRED,b3S,SP,(sem marca no nome - segue individual),202603,8.969993e+07
45691128,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO E BENEFÍCIOS SOCIAIS BECOOPER,b3S,SP,(sem marca no nome - segue individual),202603,8.8838504e+07
4572960,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MILITARES ESTADUAIS DE SANTA CATARINA - CREDPOM,b3S,SC,(sem marca no nome - segue individual),202603,8.7489336e+07
58290800,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA MAXION - CREDMAXION,b3S,SP,(sem marca no nome - segue individual),202603,8.669682e+07
1330295,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS NO ESTADO DO ESPÍRITO SANTO,b3S,ES,(sem marca no nome - segue individual),202409,8.207745e+07
52046299,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO ATACADÃO,b3S,SP,(sem marca no nome - segue individual),202603,7.853622e+07
44401800,COOPERATIVA DE CRÉDITO COGEM,b3S,SP,(sem marca no nome - segue individual),202603,7.603051e+07
92935741,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO BANRISUL,b3S,RS,(sem marca no nome - segue individual),202603,7.169972e+07
74248949,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE SÃO JOÃO DA BOA VISTA - CREDIVISTA,b3S,SP,(sem marca no nome - segue individual),202603,6.660382e+07
49654502,COOPERATIVA DE CRÉDITO RURAL DOS FORNECEDORES DE CANA DA REGIÃO DE CATANDUVA-COFOCRED,b3S,SP,(sem marca no nome - segue individual),202603,6.603938e+07
97360804,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA CIDADE DE GOIÂNIA E ENTORNO LTDA.,b3S,GO,(sem marca no nome - segue individual),201909,6.137601e+07
2250794,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, DEMAIS PROFISSIONAIS DE NÍVEL SUPERIOR DA ÁREA DE SAÚDE E EMPRESÁRIOS DE GUARULHOS E REGIÃO",b3S,SP,(sem marca no nome - segue individual),202003,6.044961e+07
9576849,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CERES E RIALMA LTDA,b3S,GO,(sem marca no nome - segue individual),202603,5.852561e+07
2137018,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RORAIMA LTDA.,b3S,RR,(sem marca no nome - segue individual),202503,5.7785176e+07
7108146,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE RIO CRIXÁS LTDA.,b3S,GO,(sem marca no nome - segue individual),202212,4.9884516e+07
51010858,COOPERATIVA DE CAPITAL E EMPRÉSTIMO COOPERMULTICRED - COOPERMC,b3S,SP,(sem marca no nome - segue individual),202603,4.9804996e+07
5667301,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO - COOPERSERV,b3S,SP,(sem marca no nome - segue individual),202603,4.848491e+07
62562012,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA  NESTLÉ - NESCRED,b3S,SP,(sem marca no nome - segue individual),202603,4.5838524e+07
63229629,COOPERATIVA DE CREDITO RURAL ASCOOB SISAL,b3S,BA,(sem marca no nome - segue individual),202309,4.550735e+07
46277273,GPATIVA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO PÃO DE AÇÚCAR,b3S,SP,(sem marca no nome - segue individual),202603,4.4965304e+07
2347114,GREENCRED - COOPERATIVA DE CREDITO,b3S,PR,(sem marca no nome - segue individual),202603,4.3782892e+07
2024442,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO COLORADO,b3S,SP,(sem marca no nome - segue individual),202603,4.3059136e+07
3612679,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS - CREDI-SP,b3S,SP,(sem marca no nome - segue individual),202603,4.293641e+07
3921543,COOPERATIVA DE CRÉDITO RURAL ASCOOB ITAPICURU - ASCOOB ITAPICURU.,b3S,BA,(sem marca no nome - segue individual),202109,3.719051e+07
27171974,COOPERÁGUIA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO ÁGUIA BRANCA,b3S,ES,(sem marca no nome - segue individual),202603,3.6743016e+07
1601342,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE MICRO REGIÕES DE GOIÂNIA E ADJACENTES LTDA.,b3S,GO,(sem marca no nome - segue individual),201909,3.516975e+07
68228006,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA CARGILL,b3S,SP,(sem marca no nome - segue individual),202603,3.3553834e+07
89280960,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DAS EMPRESAS RANDON,b3S,RS,(sem marca no nome - segue individual),202603,3.2741792e+07
2093154,"COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO MAGAZINE LUIZA, EMPRESAS CONTROLADAS E COLIGADAS - COOPLUIZA",b3S,SP,(sem marca no nome - segue individual),202603,2.8913722e+07
8850613,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CENTRAIS ELÉTRICAS DE SANTA CATARINA - CREDELESC,b3S,SC,(sem marca no nome - segue individual),202603,2.8238452e+07
62284385,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO SCHAEFFLER,b3S,SP,(sem marca no nome - segue individual),202603,2.6790284e+07
3575699,MEDCRED COOPERATIVA DE CRÉDITO,b3S,SP,(sem marca no nome - segue individual),202503,2.5342016e+07
18140913,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CBMM LTDA.,b3S,MG,(sem marca no nome - segue individual),202603,2.4023564e+07
74244344,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DO GRUPO BASF,b3S,SP,(sem marca no nome - segue individual),202603,2.2990558e+07
4791645,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES DA ASSEMBLEIA LEGISLATIVA DO ESTADO DE SÃO PAULO - COOPERALESP,b3S,SP,(sem marca no nome - segue individual),202603,2.2931376e+07
73092827,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES DO MINISTERIO DA EDUCAÇÃO EM SÃO PAULO - COOPEMESP,b3S,SP,(sem marca no nome - segue individual),202603,2.2147178e+07
3973814,SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS E MUNICIPAIS DO RIO GRANDE DO SUL,b3S,RS,(sem marca no nome - segue individual),202603,2.0554026e+07
2285107,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE CAMPINAS - COOPERUNICAMP,b3S,SP,(sem marca no nome - segue individual),202603,2.0528012e+07
44746352,COOPERATIVA DE CRÉDITO DOS FORNECEDORES DE CANA DE BARRA BONITA E REGIÃO,b3S,SP,(sem marca no nome - segue individual),202603,2.0245506e+07
4414354,COOPERATIVA DE CRÉDITO MÚTUO DO ABC - COOPER 7,b3S,SP,(sem marca no nome - segue individual),202603,1.9887256e+07
1062439,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA COMIGO,b3S,GO,(sem marca no nome - segue individual),202603,1.9497786e+07
53846242,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA VILLARES METALS,b3S,SP,(sem marca no nome - segue individual),202603,1.9401882e+07
5040680,COOPERATIVA DE CRÉDITO DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO LTDA. - MAGICREDI-RJ,b3S,RJ,(sem marca no nome - segue individual),202603,1.8909368e+07
1997612,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA FUNDAÇÃO ZERBINI E DA FUNDAÇÃO FACULDADE DE MEDICINA (FFM) - COOPINCOR,b3S,SP,(sem marca no nome - segue individual),202603,1.820821e+07
61039038,"COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS COLABORADORES DA SG INDUSTRIA E COMERCIO DE MATERIAIS DE CONSTRUCAO, VIDROS E AFINS",b3S,SP,(sem marca no nome - segue individual),202303,1.8179814e+07
46058731,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA RHODIA PAULINIA,b3S,SP,(sem marca no nome - segue individual),202006,1.8098866e+07
946465,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA PREFEITURA MUNICIPAL DE ORLÂNDIA - CRED SERV,b3S,SP,(sem marca no nome - segue individual),202603,1.7877076e+07
51489318,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MAGISTRADOS DE SÃO PAULO - MAGISCRED,b3S,SP,(sem marca no nome - segue individual),202603,1.7665202e+07
67341487,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA TETRA PAK,b3S,SP,(sem marca no nome - segue individual),202603,1.7631404e+07
57563728,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS DO GRUPO ECONÔMICO RHODIA - CREDIRHODIA,b3S,SP,(sem marca no nome - segue individual),202603,1.6657783e+07
53505681,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS METALÚRGICAS DE MATÃO - METALCOOPERCRED,b3S,SP,(sem marca no nome - segue individual),202603,1.6462818e+07
53184438,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA CEBRACE,b3S,SP,(sem marca no nome - segue individual),202603,1.6344306e+07
53776852,COOPERATIVA DE CRÉDITO CREDICENTRO,b3S,SP,(sem marca no nome - segue individual),202603,1.4986092e+07
18310649,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS EM JOÃO MONLEVADE LTDA. - COPREMON,b3S,MG,(sem marca no nome - segue individual),202603,1.4936182e+07
7564184,COOPERATIVA DE CRÉDITO RURAL ASCOOB SERTÕES - ASCOOB SERTÕES,b3S,AL,(sem marca no nome - segue individual),202309,1.4038255e+07
4998845,COOPERATIVA DE CRÉDITO DOS EMPREGADOS DA MINERAÇÃO RIO DO NORTE,b3S,PA,(sem marca no nome - segue individual),202603,1.3754442e+07
59620708,COOPERATIVA DE ECONOMIA E CRÉDÍTO MÚTUO DOS FUNCIONÁRIOS DA MWM TUPY DO BRASIL,b3S,SP,(sem marca no nome - segue individual),202603,1.3739498e+07
48718183,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ERICSSON - COOPERICSSON,b3S,SP,(sem marca no nome - segue individual),202603,1.3494248e+07
88325113,COOPERATIVA    DE    ECONOMIA    E    CRÉDITO   MÚTUO  MINUANO,b3S,RS,(sem marca no nome - segue individual),202603,1.34682e+07
20833976,COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE TIMÓTEO LTDA. - COOPERTIM,b3S,MG,(sem marca no nome - segue individual),202603,1.343605e+07
2115870,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS PÚBLICOS MUNICIPAIS DE ITAPIRA - CREDITA,b3S,SP,(sem marca no nome - segue individual),202603,1.3294608e+07
68969625,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS CONTROLADAS E COLIGADAS DA USINA SANTA ADELIA - USAGRO,b3S,SP,(sem marca no nome - segue individual),202603,1.313906e+07
41791005,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE POÇOS DE CALDAS LTDA. - COOPOÇOS,b3S,MG,(sem marca no nome - segue individual),202603,1.2944614e+07
2232228,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO SBF LTDA. - COOPER ATIVA SBF,b3S,SP,(sem marca no nome - segue individual),202603,1.2921672e+07
1235921,COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS MUNICIPAIS DA GRANDE VITÓRIA/ES,b3S,ES,(sem marca no nome - segue individual),202603,1.2870525e+07
43730498,COOPERATIVA DE CRÉDITO DOS EMPREGADOS DE ELEVADORES ATLAS,b3S,SP,(sem marca no nome - segue individual),202603,1.2500985e+07
5097757,COOPERATIVA DE CRÉDITO E SERVIÇOS FINANCEIROS DE CURITIBA E REGIÃO METROPOLITANA,b3S,PR,(sem marca no nome - segue individual),202603,1.243449e+07
20062766,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DO GRUPO EMPRESARIAL A COSTA LTDA.,b3S,MG,(sem marca no nome - segue individual),202603,1.242176e+07
3930587,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SECURITARIOS, DOS CORRETORES DE SEGUROS E DE CAPITALIZACAO DO RIO DE JANEIRO LTDA.",b3S,RJ,(sem marca no nome - segue individual),202012,1.2408447e+07
12272183,COOPERATIVA DE CRÉDITO RURAL DOS PLANTADORES DE CANA DE ALAGOAS,b3S,AL,(sem marca no nome - segue individual),202603,1.1979681e+07
2814832,COOPERATIVA DE CRÉDITO COOPHARMA,b3S,SP,(sem marca no nome - segue individual),202603,1.1457964e+07
42107706,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DE ELEVADORES ATLAS SCHINDLER LTDA.,b3S,RJ,(sem marca no nome - segue individual),202603,1.1144517e+07
26758433,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PETROLEIROS NO ESTADO DE MINAS GERAIS LTDA. - COPETRO,b3S,MG,(sem marca no nome - segue individual),202603,1.0935754e+07
1288797,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ASTRAZENECA DO BRASIL,b3S,SP,(sem marca no nome - segue individual),202603,1.0617602e+07
92675578,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO SISTEMA FIERGS - CRESUL,b3S,RS,(sem marca no nome - segue individual),202603,1.0449671e+07
57038408,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA BOMBRIL,b3S,SP,(sem marca no nome - segue individual),202603,1.0422501e+07
2083914,COOPERATIVA DE CRÉDITO MÚTUO DOS POLICIAIS FEDERAIS E SERVIDORES PÚBLICOS NO ESPÍRITO SANTO - CREDFEDERAL,b3S,ES,(sem marca no nome - segue individual),202603,1.0332569e+07
54335401,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA COMPANHIA BRASILEIRA DE ALUMÍNIO,b3S,SP,(sem marca no nome - segue individual),202603,1.0265468e+07
2588819,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA UNIÃO MARISTA DO BRASIL E SUAS ASSOCIADAS, PROVÍNCIA MARISTA BRASIL CENTRO-NORTE E UNIÃO BRASILEIRA DE EDUCAÇÃO CATÓLICA.",b3S,MG,(sem marca no nome - segue individual),202603,9.756399e+06
4608925,CREDJUST - COOPERATIVA DE CRÉDITO MÚTUO DOS INTEGRANTES DA JUSTIÇA DO TRABALHO DA 13- REGIÃO LTDA.,b3S,PB,(sem marca no nome - segue individual),202603,9.474064e+06
23241540,CREBEL - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DAS EMPRESAS BELGO BEKAERT - CREBEL LTDA.,b3S,MG,(sem marca no nome - segue individual),202603,9.288637e+06
57259525,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA FACULDADE DE CIÊNCIAS AGRÁRIAS E VETERINÁRIAS - CAMPUS DE JABOTICABAL/SP - COOPERFAC,b3S,SP,(sem marca no nome - segue individual),202603,9.054487e+06
43268960,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO AVIBRAS - COOPER AVIBRAS,b3S,SP,(sem marca no nome - segue individual),202603,8.97321e+06
